name,slug,tier,role,difficulty,description
Autonomous Combat Drone (Ground),autonomous-combat-drone-ground,2,Bruiser,12,A quadrupedal drone built for stability and pursuit.
Ex-gang Member Trying to Stay Clean,ex-gang-member-trying-to-stay-clean,2,Bruiser,12,A former ganger with old scars and enough discipline to try another life.
Ex-military Veteran,ex-military-veteran,2,Bruiser,13,A former soldier with outdated chrome and ingrained tactical reflexes.
Quiet Ganger,quiet-ganger,2,Bruiser,12,"A low-level gang member watching, listening, and reporting back to someone meaner."
Abraxas Cult Leader,abraxas-cult-leader,2,Leader,16,"A hulking troll-like hierophant transformed by prolonged communion with Abraxas. Massive tusk-like fangs jut from a wide mouth, ritual scars crawl across their flesh, and violence sends them into visible ecstasy.

FAST PLAYOpening: Stay near the ritual and use Cry of Ruin early when several cultists can act meaningfully, forcing divided attention.

Default: Use Rending Fists on one nearby target and gain Fear through Momentum. Use Chaotic Flux when multiple PCs cluster.

When Hit Hard: Use Violence Is Revelation to reposition toward the ritual, vulnerable prey, or a disruptive location.

Spend Fear: Use Gift of the Threshold primarily to break formations or displace PCs from objectives; damage is secondary.

If Allies Thin: Stop investing Stress in Cry of Ruin and shift toward direct bruiser and control play.

Goal: Conduct a chaotic battle through followers, Fear, and forced movement instead of becoming a stationary sack of HP."
Autonomous Guard Bot,autonomous-guard-bot,2,Leader,12,A compact bipedal bot with nonlethal and lethal options.
Automated Machinegun Turret Mk.II,automated-machinegun-turret-mk-ii,2,Ranged,12,A ceiling-mounted ballistic turret with automated targeting.
Micro-Missile Sentry Pod Mk. II,micro-missile-sentry-pod-mk-ii,2,Ranged,12,A compact pod that fires guided micro-missiles.
Sonic Disruption Cannon,sonic-disruption-cannon,2,Ranged,12,A high-frequency sonic weapon for hallways and chokepoints.
Washed-up Mage,washed-up-mage,2,Ranged,12,"An older mage whose power is frayed but not gone, haunted by past contracts."
Altered Threshold Cougar,altered-threshold-cougar,2,Skulk,14,"A ritual-warped mountain cougar whose outline never quite agrees with itself: forelimbs double during a strike, shadows pool around its body, and it can vanish from one patch of darkness to emerge from another.

FAST PLAYOpening: Begin concealed where the fiction allows, stalk the party, and identify an isolated or exposed target before revealing the Cougar.

Default: From Hidden, use Silent Threshold Pounce against isolated prey, especially when silencing or separating that target matters.

Reset: After striking, break contact and seek darkness or cover. Use Threshold Skip when Stress meaningfully restores distance, concealment, or a new angle.

If Cornered: Use Claws & Bite, but take the first good opportunity to disengage and resume the ambush cycle.

Remember: Living Shadow adds +2 Difficulty while Hidden. Threshold Skip repositions only; it does not grant another attack.

Goal: Make the Cougar a disappearing ambush predator: dangerous while it controls contact, much weaker when PCs deny concealment."
Autonomous Combat Drone (Aerial),autonomous-combat-drone-aerial,2,Skulk,12,A hovering drone armed with light kinetic weapons.
Corporate Courier,corporate-courier,2,Skulk,12,A sleek courier trusted to move sensitive packages between secure sites.
Electro-Pulse Mine,electro-pulse-mine,2,Skulk,12,A mine that generates an EMP combined with neural shock.
Fixer's Messenger,fixer-s-messenger,2,Skulk,12,"A trusted courier carrying coded instructions, often underestimated until too late."
Illegal Cybertech Dealer,illegal-cybertech-dealer,2,Skulk,12,A back-alley tech who can source implants the corps pretend do not exist.
Microdrone Swarm Dispenser,microdrone-swarm-dispenser,2,Skulk,12,Deploys a cloud of needle-equipped microdrones.
Monofilament Perimeter Wire,monofilament-perimeter-wire,2,Skulk,12,meleely invisible monofilament strands stretched across chokepoints.
Remote-Triggered Nanoshard Mine,remote-triggered-nanoshard-mine,2,Skulk,12,A mine that releases cutting nanoshards on detonation.
Runner Doing Fixer Errands,runner-doing-fixer-errands,2,Skulk,12,A low-tier runner carrying someone else's package and reputation.
Security Ripper-Drone,security-ripper-drone,2,Skulk,12,A rotary-blade drone designed for close-quarters interception.
Cavelor Finn,cavelor-finn,2,Solo,16,"A lean half-elf assassin who treats observation as the real job and violence as an optional conclusion. Finn works from prepared hides with suppressed weapons, custom toxins, and multiple escape routes, refusing any fight that becomes fair.

FAST PLAYOpening: Shadow the team unseen until Finn has a clean assassination opportunity or another compelling reason to reveal himself.

Default: From Hidden, use Precision Rifle to trigger Prepared Shot against exposed prey, then reset with Ghost Position rather than trade attacks.

If Pressed: Use Exit Strategy when disengagement matters. Use Dead Drop when preparation can restore concealment, create escape, or disrupt pursuit.

Fallback: Use Suppressed Pistol when close engagement is already advantageous; if the fight becomes fair, break contact.

Remember: Relentless (2) permits a second spotlight but does not make it free. Any hit that marks HP triggers Finn's Compound.

Goal: Make the PCs feel watched, suddenly endangered, then uncertain whether Finn is truly gone."
Off-duty Security Guard,off-duty-security-guard,2,Standard,12,"A corp-contracted guard off shift, still wired to read a room like a threat board."
Chemical Mist Neutralizer,chemical-mist-neutralizer,2,Support,12,A dispersal unit that emits paralytic or disorienting mist.
Guardrail Jackpot Trap,guardrail-jackpot-trap,2,Support,12,Conductive rails delivering concussive shockwaves.
Hostile Intruder Spray Unit,hostile-intruder-spray-unit,2,Support,12,A chemical dispersal node that emits irritants or neuro-gas.
Portable Auto-Barricade,portable-auto-barricade,2,Support,12,A mobile barricade drone deploying armored plates.
Street Medic,street-medic,2,Support,12,A combat-capable medic patching up people the official system leaves to die.
Automated Barricade Deployment System,automated-barricade-deployment-system,3,Bruiser,14,Deployable steel plates with integrated weapon pods.
Corp-Spec Guard Android,corp-spec-guard-android,3,Bruiser,14,A humanoid android built for facility defense.
Security Mech Frame,security-mech-frame,3,Bruiser,14,A compact exosuit used by facility defense teams.
Auto-Targeting Sniper Node,auto-targeting-sniper-node,3,Ranged,14,A rooftop precision node with thermal scope and rail-lens.
Heat-Seeking Micro-Rocket Turret,heat-seeking-micro-rocket-turret,3,Ranged,14,A compact turret firing miniature guided rockets.
Rail-Slug Wall Cannon,rail-slug-wall-cannon,3,Ranged,14,A wall-embedded railgun firing armor-piercing slugs.
Bella,bella,3,Solo,18,
