old_name,new_name,new_description,img,img-path
Major Health Potion,Major Health Stimpack,High-capacity stimpack restoring 1d4+2 HP.,major-health-potion.webp,modules\cybermancy\assets\icons\consumables\major-health-stimpack.webp
Major Stamina Potion,Major Adrenaline Patch,Upgraded patch clearing 1d4+2 Stress.,major-stamina-potion.webp,modules\cybermancy\assets\icons\consumables\major-adrenaline-patch.webp
Ogre Musk,Tracking Scrambler Mist,"A chemical cloud that scrambles biosign and digital traces, preventing tracking until next rest.",ogre-musk.webp,modules\cybermancy\assets\icons\consumables\tracking-scrambler-mist.webp
Wingsprout,Grav-Lift Harness,Deployable grav-wings granting flight for minutes equal to your level.,wingsprout.webp,modules\cybermancy\assets\icons\consumables\grav-lift-harness.webp
Jar of Lost Voices,Sonic Disruption Jar,Releases a cacophony of ghostly feedback. All within Far range take 6d8 sonic damage.,jar-of-lost-voices.webp,modules\cybermancy\assets\icons\consumables\sonic-disruption-jar.webp
Dragonbloom Tea,Pyro-Core Injector,An internal reactor shot that lets you exhale plasma fire. Make an Instinct roll; targets in front take 2d20 physical damage.,dragonbloom-tea.webp,modules\cybermancy\assets\icons\consumables\pyro-core-injector.webp
Bridge Seed,Nanowire Bridge Pod,Deploys self-assembling nanowires forming a bridge up to Far range; dissolves after short rest.,bridge-seed.webp,modules\cybermancy\assets\icons\consumables\nanowire-bridge-pod.webp
Sleeping Sap,Deep-Sleep Capsule,A sedative capsule inducing full rest and clearing all Stress on waking.,sleeping-sap.webp,modules\cybermancy\assets\icons\consumables\deep-sleep-capsule.webp
Feast of Xurla,Executive Feast Pack,A luxury nutrient kit that clears all HP and Stress and grants 1d4 Hope.,feast-of-xurla.webp,modules\cybermancy\assets\icons\consumables\executive-feast-pack.webp
Bonding Honey,Industrial Adhesive Gel,A dual-compound resin that permanently bonds objects together.,bonding-honey.webp,modules\cybermancy\assets\icons\consumables\industrial-adhesive-gel.webp
Shrinking Potion,Micro-Size Serum,A nanite serum halving your body size with +2 Agility and –1 Proficiency until reverted.,shrinking-potion.webp,modules\cybermancy\assets\icons\consumables\micro-size-serum.webp
Growing Potion,Macro-Size Serum,A nanite expansion serum doubling your size with +2 Strength and +1 Proficiency until reverted.,growing-potion.webp,modules\cybermancy\assets\icons\consumables\macro-size-serum.webp
Knowledge Stone,Memory Transfer Crystal,"Upon death, stores your last loadout data. An ally can absorb it, inheriting one of your cards before it dissolves.",knowledge-stone.webp,modules\cybermancy\assets\icons\consumables\memory-transfer-crystal.webp
Sweet Moss,Soothing Med-Gel,A rest-time gel that clears 1d10 HP or 1d10 Stress when applied.,sweet-moss.webp,modules\cybermancy\assets\icons\consumables\soothing-med-gel.webp
Blinding Orb,Flashbang Grenade,A high-intensity flash device blinding all targets within Close range until they take HP damage.,blinding-orb.webp,modules\cybermancy\assets\icons\consumables\flashbang-grenade.webp
Death Tea,Assassin’s Neurotoxin,"A lethal nanopoison: if you crit before your next long rest, your target dies. Fail—and so do you.",death-tea.webp,modules\cybermancy\assets\icons\consumables\assassin’s-neurotoxin.webp
Mirror of Marigold,Reactive Deflection Matrix,"A single-use energy field that negates one instance of damage when Hope is spent, then shatters.",mirror-of-marigold.webp,modules\cybermancy\assets\icons\consumables\reactive-deflection-matrix.webp
Stardrop,Orbital Strike Beacon,A miniaturized satellite uplink calling down a storm of kinetic rods. Deals 8d20 physical damage within Very Far range.,stardrop.webp,modules\cybermancy\assets\icons\consumables\orbital-strike-beacon.webp
